microRNA ID	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)
hsa-miR-19a-5p	1.1532534460046777E-5	6.719919118065718E-5	0.0032634026029451993E0	-8.259407302306602E0	-306.4286334445853E0	0.009999999999999787E0	3.0642863374083316E0
hsa-miR-3115	1.1989230985966446E-5	6.919499026186349E-5	0.0012381387312940591E0	-9.657611309579638E0	-807.6639351672935E0	0.009999999999999787E0	8.076639360803108E0
hsa-miR-335-3p	1.236593312491828E-5	7.069580635566488E-5	4.4164788303932193E-4	-11.144815783342766E0	-2264.247239493652E0	0.010000000000019327E0	22.642472424518445E0
hsa-miR-147b-3p	1.3129593599056332E-5	7.436012823390781E-5	0.0010319952349881819E0	-9.920347975213701E0	-968.9967221713497E0	0.00999999999999801E0	9.68996723296373E0
hsa-miR-29b-2-5p	1.358211889682052E-5	7.62107782543818E-5	0.001189731592795349E0	-9.71514815097755E0	-840.5257169395976E0	0.009999999999999787E0	8.40525717895424E0
hsa-miR-767-3p	1.3732712375699696E-5	7.634884128141299E-5	5.918995163855432E-4	-10.72236010152753E0	-1689.4759538013107E0	0.009999999999990905E0	16.894759559202285E0
hsa-miR-4458	1.4841031752223183E-5	8.176059310770226E-5	0.0013366469834883562E0	-9.547165793366005E0	-748.1406926084693E0	0.009999999999999787E0	7.481406934445264E0
hsa-miR-9903	1.5593593924567203E-5	8.439862330724084E-5	3.9663821350627727E-4	-11.299888701024074E0	-2521.1892499212604E0	0.009999999999990905E0	25.211892532537405E0
hsa-miR-101-5p	1.5608978842700444E-5	8.439862330724084E-5	0.004050134330622377E0	-7.947814526070045E0	-246.90539087535197E0	0.009999999999999787E0	2.4690539110504877E0
hsa-miR-624-3p	1.5909186555227578E-5	8.439862330724084E-5	0.0010719139096198342E0	-9.865595243747023E0	-932.9107412690081E0	0.009999999999999787E0	9.329107423463217E0
hsa-miR-488-3p	1.600700344927773E-5	8.439862330724084E-5	0.002350313699525765E0	-8.732930956575617E0	-425.47511857747975E0	0.009999999999999787E0	4.25475119012402E0
hsa-miR-190a-3p	1.601624039658861E-5	8.439862330724084E-5	0.0019310232959186152E0	-9.016418715555538E0	-517.8601429167563E0	0.009999999999999787E0	5.178601434632997E0
hsa-miR-2355-3p	1.6330327755503654E-5	8.530417914867935E-5	0.0016343681022185955E0	-9.257051332123021E0	-611.8572668192289E0	0.009999999999990905E0	6.118572674816662E0
hsa-let-7a-2-3p	1.64696187465272E-5	8.530417914867935E-5	4.7130606376069253E-4	-11.051048136555607E0	-2121.763492751822E0	0.009999999999990905E0	21.217634954945424E0
hsa-miR-138-1-3p	1.9955454751820484E-5	1.0248309813223061E-4	0.0021027228870480505E0	-8.893525551484476E0	-475.5738410228035E0	0.010000000000019327E0	4.755738415188063E0
hsa-miR-3157-5p	2.0786929961396376E-5	1.0585613072778322E-4	8.295467339656858E-4	-10.23538911933117E0	-1205.477592828863E0	0.009999999999990905E0	12.054775942720418E0
hsa-miR-1257	2.2054856280526515E-5	1.113770242166589E-4	0.006891996048072994E0	-7.180862410352146E0	-145.09584640281395E0	0.009999999999999787E0	1.4509584652477105E0
hsa-miR-887-3p	2.2481695214287614E-5	1.1259427520544044E-4	7.8950717493002E-4	-10.306760002395004E0	-1266.612934947219E0	0.009999999999999787E0	12.666129364752951E0
hsa-miR-576-3p	2.34193480706873E-5	1.1632889287570905E-4	0.0037858377115892344E0	-8.045171716648372E0	-264.14233154759717E0	0.009999999999999787E0	2.6414233179633984E0
hsa-miR-27b-5p	2.507374004360114E-5	1.23483139199683E-4	0.0012262771237802506E0	-9.67149923717946E0	-815.476355717454E0	0.010000000000019327E0	8.154763566422218E0
hsa-miR-1268b	2.5267176997954935E-5	1.23483139199683E-4	0.0040501343306187905E0	-7.947814526071322E0	-246.90539087557062E0	0.009999999999990905E0	2.46905391105048E0
hsa-miR-1306-5p	2.5715396112456584E-5	1.246682403531895E-4	0.0017557074738331748E0	-9.153731793550813E0	-569.5709649265973E0	0.010000000000005116E0	5.695709655371736E0
hsa-miR-424-3p	3.1192271036892036E-5	1.5001997022505217E-4	3.9714610005639516E-4	-11.298042543334489E0	-2517.965050791129E0	0.009999999999990905E0	25.17965054118804E0
hsa-let-7b-3p	3.241172218822822E-5	1.546575090241441E-4	0.009726723378300947E0	-6.683830395586031E0	-102.8095444999361E0	0.009999999999990905E0	1.0280954458027765E0
hsa-miR-194-3p	3.428492702647092E-5	1.6231770139094826E-4	5.375669928166109E-4	-10.861267821718672E0	-1860.2332609010214E0	0.00999999999999801E0	18.602332632656704E0
hsa-miR-7704	3.4881495996776156E-5	1.638619114267159E-4	62695.03047908908E0	15.936063471901939E0	62695.03047908908E0	176410.82097703166E0	2.8137927248762935E0
hsa-miR-625-5p	3.520569035505712E-5	1.6411267965511244E-4	5.208993943786846E-4	-10.906707619802697E0	-1919.75650344684E0	0.010000000000019327E0	19.19756505901455E0
hsa-miR-548u	4.1524727228715606E-5	1.9209148626413478E-4	0.001613762977890526E0	-9.275355586921709E0	-619.669687370804E0	0.009999999999999787E0	6.196696880435775E0
hsa-miR-643	4.265406959620741E-5	1.952505401485066E-4	0.0018965087932671602E0	-9.042438223879651E0	-527.284663034584E0	0.009999999999999787E0	5.272846635926797E0
hsa-miR-597-5p	4.2852016237213494E-5	1.952505401485066E-4	0.003785837711589231E0	-8.045171716648374E0	-264.1423315475974E0	0.009999999999999787E0	2.6414233179633992E0
hsa-miR-328-3p	4.52044924673017E-5	2.0443225697899128E-4	5.192224391073331E-4	-10.911359646271453E0	-1925.956824437784E0	0.009999999999990905E0	19.259568268959015E0
hsa-miR-874-3p	4.571509995540488E-5	2.052100042442619E-4	0.0011428576675557467E0	-9.77313854436228E0	-874.9995982778158E0	0.009999999999990905E0	8.749995992780072E0
hsa-miR-3163	4.632841740762549E-5	2.0643397756633122E-4	0.006160185000264316E0	-7.34281060663864E0	-162.33278707653957E0	0.009999999999999787E0	1.6233278721606212E0
hsa-miR-200c-5p	4.786407213590141E-5	2.117199103237683E-4	0.0017557074738322406E0	-9.15373179355158E0	-569.5709649269004E0	0.009999999999999787E0	5.695709655371731E0
hsa-miR-708-5p	5.019616403632749E-5	2.2042663337691636E-4	0.002350313699470054E0	-8.732930956609813E0	-425.4751185875651E0	0.009999999999763531E0	4.254751190124352E0
hsa-miR-628-3p	5.103373051564866E-5	2.2249237908261214E-4	3.5143617090201053E-4	-11.474449693907728E0	-2845.466923434087E0	0.009999999999990905E0	28.454669272533344E0
hsa-miR-33b-3p	5.3047929356977845E-5	2.296217513594898E-4	0.0010319952349874479E0	-9.920347975214728E0	-968.9967221720389E0	0.009999999999990905E0	9.689967232963738E0
hsa-miR-146a-5p	5.612557869950104E-5	2.4121482813644143E-4	219.36541085815003E0	7.777192251899583E0	219.36541085815003E0	9908.090557000562E0	45.167059424822696E0
hsa-miR-124-5p	5.6522286461014325E-5	2.4121482813644143E-4	0.0012677245402230308E0	-9.62354298368511E0	-788.8148949329875E0	0.009999999999999787E0	7.888148958215508E0
hsa-miR-1260a	5.802691649191885E-5	2.459042754832365E-4	6.694922428421632E-4	-10.544645039874363E0	-1493.669285479318E0	0.009999999999990905E0	14.936692873215861E0
hsa-miR-5187-5p	6.209648256317626E-5	2.613226974533668E-4	0.004354102616691752E0	-7.843408875563219E0	-229.66845020290316E0	0.009999999999999787E0	2.296684504137577E0
hsa-miR-4443	6.560276158237861E-5	2.7417430013049264E-4	317.14901026431636E0	8.309017029694237E0	317.14901026431636E0	3525.049314119172E0	11.11480470253673E0
