microRNA ID	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)
hsa-miR-377-3p	0.006498288614307262E0	0.03898973168584357E0	163.794197399271E0	7.355740438502259E0	163.794197399271E0	70.90045091485524E0	0.43286301944493744E0
hsa-miR-378a-3p	0.006822733069282629E0	0.04027696640757789E0	0.322049680942462E0	-1.6346448322598657E0	-3.1051109787581557E0	348.19095527554646E0	1081.1715581372625E0
hsa-miR-299-5p	0.00684575501646951E0	0.04027696640757789E0	321.0251022973963E0	8.326542301901219E0	321.0251022973963E0	274.70953944091787E0	0.855726038889884E0
hsa-let-7d-5p	0.007775625786538809E0	0.04530797333310114E0	12.030751970127854E0	3.5886549144312343E0	12.030751970127854E0	648.5424134415475E0	53.907055417602805E0
hsa-miR-3129-5p	0.008124072439634972E0	0.0468875037944647E0	0.007149678178937518E0	-7.127905979847988E0	-139.8664352398314E0	0.6695140173109075E0	93.64253902250614E0
hsa-miR-544b	0.008474291673795513E0	0.04844736560679322E0	2.9548204202595576E0	1.5630704530174944E0	2.9548204202595576E0	7.804931559896023E0	2.6414233179633984E0
hsa-miR-455-3p	0.008716964380717946E0	0.049368975838458645E0	7.475853608385192E0	2.9022383186116243E0	7.475853608385192E0	229.1132973076394E0	30.647108575377047E0
hsa-miR-95-3p	0.008853687678690532E0	0.04967902530820799E0	0.0706287103926996E0	-3.823601435153671E0	-14.158548194352463E0	104.90961536988355E0	1485.3678459302798E0
hsa-miR-494-3p	0.009998952961694844E0	0.05559050912648693E0	167.3273940429106E0	7.386529845638529E0	167.3273940429106E0	101.27196478028321E0	0.6052324263578157E0
hsa-miR-137-3p	0.010187827957489282E0	0.05612567038398641E0	0.06881954373389945E0	-3.8610378625795554E0	-14.530756028645614E0	77.75911873253015E0	1129.8987838155406E0
hsa-miR-221-5p	0.010970462478242925E0	0.059892795151488404E0	7.171887973527862E0	2.842352953167517E0	7.171887973527862E0	31.074896951863934E0	4.3328753957431445E0
hsa-miR-181a-5p	0.01259917866941198E0	0.0681705560148541E0	0.011377791928317489E0	-6.457635586713374E0	-87.89051569058503E0	0.7077904465510423E0	62.20806739526322E0
hsa-miR-99a-3p	0.013664757060476868E0	0.07328179450131841E0	1.4006186823524866E-5	-16.12357623812411E0	-71397.01994552827E0	0.009999999999868123E0	713.9702007933654E0
hsa-miR-12135	0.015305441258636667E0	0.08065302089333756E0	0.2711706050227248E0	-1.8827272965251205E0	-3.6877153403710463E0	317.77235026065E0	1171.8539710602145E0
hsa-miR-181a-3p	0.0161177021879219E0	0.08420109936104028E0	4.078945059882928E-5	-14.581444399120114E0	-24516.142907516914E0	0.010000000000044196E0	245.16142949469838E0
hsa-miR-27a-5p	0.016439966301512607E0	0.08515059468988581E0	2.512669293132788E0	1.3292208023154732E0	2.512669293132788E0	442.5766227976951E0	176.13803135112585E0
hsa-miR-758-3p	0.016943174069445247E0	0.0865045246873347E0	9532.75237568415E0	13.218677105874763E0	9532.75237568415E0	95.327523904255E0	0.009999999999990905E0
hsa-miR-106a-3p	0.016986862108569027E0	0.0865045246873347E0	0.01201945679272002E0	-6.37848449340596E0	-83.19843544058355E0	1.7544761163774945E0	145.96966800946367E0
hsa-miR-183-3p	0.018371263712206272E0	0.09277488174664167E0	0.390988835817666E0	-1.354800681064292E0	-2.5576177844278414E0	9.085683165277795E0	23.23770485087628E0
hsa-miR-101-2-5p	0.018897634555542196E0	0.09464435157569066E0	2.218458762457818E0	1.1495577360517397E0	2.218458762457818E0	5.477494284687754E0	2.469053911050488E0
hsa-miR-889-3p	0.01948321057811667E0	0.09665024763990734E0	90903.74643718445E0	16.47205213331941E0	90903.74643718445E0	909.0374661237515E0	0.009999999999990905E0
hsa-miR-323a-3p	0.019617129471466342E0	0.09665024763990734E0	58185.49437571459E0	15.828371914116413E0	58185.49437571459E0	581.8549448346635E0	0.009999999999990905E0
hsa-miR-425-5p	0.02018080472054115E0	0.09862554565038659E0	0.4714102732901314E0	-1.0849448957748271E0	-2.121294457629577E0	331.13336576428765E0	702.4313736212177E0
hsa-miR-342-3p	0.021719735693894415E0	0.10307425784016272E0	0.37128318259927656E0	-1.4294081255877942E0	-2.6933619589209705E0	122.91228334359357E0	331.0472682971408E0
hsa-miR-1257	0.021858579061882367E0	0.10307425784016272E0	3.080091643070804E0	1.6229732765814984E0	3.080091643070804E0	4.46908504410133E0	1.4509584652477105E0
hsa-miR-33a-3p	0.022110055868273096E0	0.10307425784016272E0	0.39607182137415514E0	-1.3361660308825747E0	-2.5247946105596215E0	33.708545660992705E0	85.10715442798838E0
hsa-miR-376b-5p	0.022455564818582643E0	0.10307425784016272E0	4747.737973802991E0	12.213024599943859E0	4747.737973802991E0	47.47737980592714E0	0.010000000000005116E0
hsa-miR-432-5p	0.022737616814007586E0	0.10307425784016272E0	75562.3783862635E0	16.205380491970093E0	75562.3783862635E0	755.6237852781146E0	0.009999999999763531E0
hsa-miR-369-3p	0.02284082900325331E0	0.10307425784016272E0	40091.240970216924E0	15.290999454405775E0	40091.240970216924E0	400.91241041938736E0	0.009999999999990905E0
hsa-miR-29b-2-5p	0.023047212928736318E0	0.10307425784016272E0	0.3287091993331215E0	-1.605116262300725E0	-3.0422026582425428E0	2.7628853569639134E0	8.40525717895424E0
hsa-miR-124-5p	0.023132176677000214E0	0.10307425784016272E0	0.21271444888073127E0	-2.233010061491976E0	-4.701138099747511E0	1.6779232578973458E0	7.888148958215508E0
hsa-miR-3657	0.024700391483940258E0	0.10798308129008655E0	0.05486490125803288E0	-4.187972681244928E0	-18.22658889509234E0	0.35889522327549694E0	6.541435694261597E0
hsa-miR-212-3p	0.024700391483940258E0	0.10798308129008655E0	0.05486490125803288E0	-4.187972681244928E0	-18.22658889509234E0	0.35889522327549694E0	6.541435694261597E0
hsa-miR-214-5p	0.024915057667466704E0	0.10798308129008655E0	7.617316482117E-5	-13.680357636798306E0	-13127.98283158744E0	0.00999999999998181E0	131.2798285258595E0
hsa-miR-192-5p	0.024946586436653657E0	0.10798308129008655E0	0.13910491970304423E0	-2.8457546505235825E0	-7.188818354769631E0	521.3592051197076E0	3747.95662444113E0
hsa-miR-204-5p	0.025147875184278582E0	0.10808235717498454E0	0.05634973907599546E0	-4.149447259672506E0	-17.746311099175827E0	0.3588952232754987E0	6.369066287348685E0
hsa-miR-708-3p	0.025803132169721684E0	0.10891667354190127E0	39.71170371740956E0	5.311492351794356E0	39.71170371740956E0	50.77494989248177E0	1.278589058334802E0
hsa-miR-485-3p	0.026041533917623563E0	0.10891667354190127E0	25000.130893918842E0	14.609648028017341E0	25000.130893918842E0	250.00130936649322E0	0.009999999999990905E0
hsa-miR-1246	0.026060920236923572E0	0.10891667354190127E0	0.031318457229365784E0	-4.996843043632467E0	-31.93005302516463E0	0.35889522327533996E0	11.4595435163626E0
hsa-miR-337-5p	0.02747658422553924E0	0.11327081660324338E0	52418.562482534806E0	15.677790169542467E0	52418.562482534806E0	524.1856257868305E0	0.009999999999990905E0
hsa-miR-3684	0.028840964721172348E0	0.1180920582502057E0	0.4183888466379129E0	-1.2570837019895182E0	-2.3901210752528304E0	3.733018168310263E0	8.922365399692975E0
hsa-miR-30e-5p	0.029545337103908276E0	0.12016425694609675E0	0.3174988090266864E0	-1.6551769147018216E0	-3.1496181137358157E0	614.5023974657153E0	1935.4478823670865E0
hsa-miR-337-3p	0.030988246965660906E0	0.12519251774127008E0	7372.9889019482835E0	12.848033870044096E0	7372.9889019482835E0	73.72988913029931E0	0.009999999999990905E0
hsa-miR-199a-5p	0.031243728072041364E0	0.12538873650104018E0	6.643707994802993E-4	-10.555723714392968E0	-1505.1835522907463E0	1.3290280346224996E0	2000.4311407187972E0
hsa-miR-3163	0.0316783821990616E0	0.12603139466752375E0	2.705881085523661E0	1.436098439057637E0	2.705881085523661E0	4.392532185621186E0	1.6233278721606212E0
hsa-miR-185-3p	0.03181980756457283E0	0.12603139466752375E0	0.04974435953646951E0	-4.329323240602782E0	-20.10278168858243E0	0.3588952232754963E0	7.214792326238552E0
hsa-miR-656-3p	0.03481309560592765E0	0.13699179179994908E0	1955.2539838510013E0	10.933140307766354E0	1955.2539838510013E0	19.55253986354275E0	0.010000000000005116E0
hsa-miR-370-5p	0.035822683639478096E0	0.1392346535070444E0	1625.9377116792841E0	10.667056274687162E0	1625.9377116792841E0	16.259377137102977E0	0.010000000000005116E0
hsa-miR-34c-5p	0.035842584071120336E0	0.1392346535070444E0	13337.913982765784E0	13.70324542972675E0	13337.913982765784E0	133.37914004185853E0	0.010000000000019327E0
hsa-miR-487a-3p	0.038193418405630265E0	0.1457914967903194E0	1420.4282209281214E0	10.472110213741463E0	1420.4282209281214E0	14.20428222669005E0	0.00999999999999801E0
