microRNA ID	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)
hsa-miR-3928-3p	4.970961248244369E-5	3.719015452390232E-4	7847.381391645171E0	12.937995603183913E0	7847.381391645171E0	78.47381403522459E0	0.009999999999990905E0
hsa-miR-99b-5p	7.72348281267916E-5	5.707842176199477E-4	3.6333459156954064E0	1.8612987252638025E0	3.6333459156954064E0	13364.81428776796E0	3678.3765143644923E0
hsa-miR-23b-5p	1.0225192659193581E-4	7.465622592134108E-4	14194.932051306187E0	13.793088322695711E0	14194.932051306187E0	141.9493207425188E0	0.010000000000019327E0
hsa-let-7c-5p	1.2153600854696248E-4	8.767954902316579E-4	0.12980236115895122E0	-2.9456114680886216E0	-7.704020104653078E0	1077.9195215588106E0	8304.313668150395E0
hsa-miR-10b-5p	1.2671743427237437E-4	9.034207666948101E-4	0.040827041316336764E0	-4.614331168694893E0	-24.493570137786456E0	79.6479065004155E0	1950.8615852494963E0
hsa-miR-874-5p	1.7278517929378775E-4	0.001217532775023667E0	14077.522804996626E0	13.781105867546755E0	14077.522804996626E0	140.77522827732787E0	0.010000000000019327E0
hsa-miR-92a-3p	1.9063112576647522E-4	0.0013278443932699308E0	4.4775167210370155E0	2.162698819885639E0	4.4775167210370155E0	14099.166833249565E0	3148.8808882471094E0
hsa-let-7a-5p	2.331105195050648E-4	0.0016052838047735144E0	4.191989488961369E0	2.0676350994511457E0	4.191989488961369E0	37320.560942345546E0	8902.827889141437E0
hsa-miR-30a-5p	3.0484188633447335E-4	0.002075664978861695E0	0.08245591975354567E0	-3.600233117064001E0	-12.127692020038369E0	253.91202682917685E0	3079.3668628656897E0
hsa-miR-339-5p	3.144600259195006E-4	0.002115594029167329E0	9.99261008219254E0	3.320861560981572E0	9.99261008219254E0	3202.3129628358292E0	320.46811946537855E0
hsa-miR-30e-3p	3.1768821230070447E-4	0.002115594029167329E0	3.530380351463756E0	1.8198236230461033E0	3.530380351463756E0	3000.6953075011406E0	849.9637455827669E0
hsa-miR-221-3p	4.1754053644769116E-4	0.002724157190621308E0	7.364507428625875E0	2.880589034555995E0	7.364507428625875E0	96753.44073040537E0	13137.802037065034E0
hsa-miR-199b-3p	4.180637272735671E-4	0.002724157190621308E0	0.035098113101715504E0	-4.832462717420688E0	-28.491560133217607E0	128.13510587977936E0	3650.769076415031E0
hsa-miR-20b-5p	4.924284105682472E-4	0.003174591668131466E0	0.17100494389526474E0	-2.5478900596587835E0	-5.847784147179214E0	1148.4395830572505E0	6715.82678979823E0
hsa-miR-99a-5p	7.312970066732846E-4	0.004664905116252742E0	0.07674487294494255E0	-3.703785817454469E0	-13.030186403688607E0	174.27412032876134E0	2270.824274207119E0
hsa-let-7e-5p	9.339492384016162E-4	0.005895554567410202E0	3.9382030715662104E0	1.9775375050403678E0	3.9382030715662104E0	12509.656085917275E0	3176.4883261965733E0
hsa-miR-186-5p	9.611909183964153E-4	0.006004965943796162E0	3.7004382084707625E0	1.8876961258100509E0	3.7004382084707625E0	7425.195297568681E0	2006.5718916561818E0
hsa-miR-181a-5p	0.001066802906083814E0	0.006596760827416238E0	1.3540170607818611E-5	-16.172394557274036E0	-73854.31313713004E0	0.010000000000000009E0	738.5431327693967E0
